id,name,start_date,end_date,replaces,replaced_by,cabinet,cabinetLabel
Q333259,"William Rodgers, Baron Rodgers of Quarry Bank",1979-05-04,1979-06-14,,Q262749,,
Q262749,Albert Booth,1979-06-14,1983-10-31,Q333259,Q332393,,
Q332393,John Prescott,1983-10-31,1984-10-26,Q262749,Q334006,,
Q334006,Gwyneth Dunwoody,1984-10-26,1985-11-04,Q332393,Q2157626,,
Q2157626,"Robert Hughes, Baron Hughes of Woodside",1985-11-04,1988-11-23,Q334006,Q332393,,
Q332393,John Prescott,1988-11-23,1993-10-21,Q2157626,Q300182,,
Q300182,Frank Dobson,1993-10-21,1994-10-20,Q332393,Q583993,,
Q583993,Michael Meacher,1994-10-20,1995-10-19,Q300182,Q333550,,
Q333550,Clare Short,1995-10-19,1996-07-25,Q583993,Q334296,,
Q334296,Andrew Smith (politician),1996-07-25,1997-05-02,Q333550,Q259836,,
Q259836,"Sir George Young, 6th Baronet",1997-05-02,1997-06,Q334296,Q332919,,
Q332919,Norman Fowler,1997-06,1998-06-01,Q259836,Q333058,,
Q333058,Gillian Shepherd,1998-06-01,1999-06-14,Q332919,Q333846,,
Q333846,John Redwood,1999-06-14,2000-02-02,Q333058,Q2860158,,
Q2860158,Archie Norman (businessman),2000-02-02,2001-09-18,Q333846,Q264766,,
Q264766,Theresa May,2001-09-18,2002-07-23,Q2860158,Q5611004,,
Q5611004,Tim Collins (politician),2002-07-23,2003-11-10,Q264766,Q391960,,
Q391960,Damian Green,2003-11-10,2004-09-08,Q5611004,Q259961,,
Q259961,Tim Yeo,2004-09-08,2005-05-10,Q391960,Q302417,,
Q302417,Alan Duncan,2005-05-06,2005-12-08,Q259961,Q337453,,
Q337453,Chris Grayling,2005-12-08,2007-07-02,Q302417,Q266793,,
Q266793,Theresa Villiers,2007-07-02,2010-05-11,Q337453,Q334155,,
Q334155,Sadiq Khan,2010-05-14,2010-10-08,Q266793,Q302815,,
Q302815,Maria Eagle,2010-10-08,2013-10-07,Q334155,Q291470,,
Q291470,Mary Creagh,2013-10-07,2014-11-05,Q302815,Q302363,,
Q302363,Michael Dugher,2014-11-05,2015-09-13,Q291470,Q392064,,
Q392064,Lillian Greenwood,2015-09-13,2016-06-26,Q302363,Q4761018,,
Q4761018,Andy McDonald (politician),2016-06-27,2020-04-06,Q392064,Q17306267,,
Q17306267,Jim McMahon (politician),2020-04-06,,Q4761018,,,
